movie_id,tmdb_id,imdb_id,title,original_title,adult,budget,genres,homepage,original_language,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,vote_average,vote_count
hedwig+and+the+angry+inch+2001,13403,tt0248845,Hedwig and the Angry Inch,Hedwig and the Angry Inch,False,0,"Comedy, Music",null,en,"Hansel Schmidt, is a young East German boy, born and raised during the Cold War in communist East Berlin. In his 20s, he meets Luther Robinson, an older American soldier, who falls in love with Hansel and the two decide to marry, which will allow Hansel to leave communist East Germany for the West.  But, in order to marry, Hansel must undergo a sex-change. However, the procedure does not go perfectly and Hansel becomes not a trans woman, but a 'genderqueer', Hedwig.  Back in the USA, on their first wedding anniversary, Luther leaves Hedwig for another man. On  that same day the news headlines were of the fall of the Berlin Wall and freedom.  Hedwig tours the  US with her rock band and relates her life story while following her ex-boyfriend/band-mate Tommy Speck (to whom she gives the stage name ""Tommy Gnosis""), who stole her songs and rose to fame.",4.446806,/aFBTGEKZraT83p7r1pXztAkT7Yf.jpg,"New Line Cinema, Killer Films",United States of America,2001-07-20,0,95,"English, Deutsch",Released,7.4,81
the+cove+2009,23128,tt1313104,The Cove,The Cove,False,0,Documentary,http://www.thecovemovie.com/,en,"The Cove tells the amazing true story of how an elite team of individuals, films makers and free divers embarked on a covert mission to penetrate the hidden cove in Japan, shining light on a dark and deadly secret. The shocking discoveries were only the tip of the iceberg.",12.492389,/9giC3yXFPMl5Gmy5HGd0BYvWSWS.jpg,"Diamond Docs, Fish Films, Oceanic Preservation Society, Quickfire Films, Participant Media",United States of America,2009-07-31,1162422,92,English,Released,7.9,241
the+wrecking+crew+2008,70027,tt1185418,The Wrecking Crew,The Wrecking Crew,False,0,"Music, Documentary",http://www.wreckingcrewfilm.com/,en,"A celebration of the musical work of a group of session musicians known as ""The Wrecking Crew"", a band that provided back-up instrumentals to such legendary recording artists as Frank Sinatra, The Beach Boys and Bing Crosby.",4.34739,/kttijtZRFbuFQe0s7S3Fvv8JiTI.jpg,Lunch Box Entertainment,United States of America,2008-03-11,0,101,English,Released,7.3,26
in+the+city+2003,71110,tt0345185,In The City,En La Ciudad,False,0,"Drama, Romance, Foreign",null,es,"Un grupo de amigos de Barcelona se reúnen casi a diario, pero su amistad es sólo aparente; de hecho, ninguno de ellos conoce a fondo la vida de los demás. La película relata la vida íntima y secreta de cada uno de los personajes, sus sentimientos y deseos más inconfesables.",0.22271,/g5HSHV4kWb8IAtbGInV6mxwB1U5.jpg,,,2003-11-07,0,110,Español,Released,6.6,5
the+worlds+fastest+indian+2005,9912,tt0412080,The World's Fastest Indian,The World's Fastest Indian,False,25000000,Drama,null,en,"The life story of New Zealander Burt Munro, who spent years building a 1920 Indian motorcycle -- a bike which helped him set the land-speed world record at Utah's Bonneville Salt Flats in 1967.",5.581311,/h3xDXEEjppiyuRtMv6Cy5bcMTrG.jpg,"New Zealand Film Commission, 2929 Productions, OLC / Rights Entertainment, Tanlay, New Zealand Film Production Fund, 3 Dogs and a Pony, Park Road Post, WFI Productions Ltd.","New Zealand, Switzerland, Japan, United States of America",2005-10-12,0,127,"English, Français, Pусский",Released,7.3,168
la+seal+2007,127702,tt0906777,La Señal,La señal,False,0,"Mystery, Crime, Drama",null,es,"During the last days of Eva Peron, a pair of low-ranking detectives are thrust into a case of corruption involving the Mafia.",0.575554,/oyq6xF7N1kNLFvUpwnfVFRVpzDI.jpg,,Spain,2007-09-13,0,95,Español,Released,6.3,3
gorillas+in+the+mist+1988,10130,tt0095243,Gorillas in the Mist,Gorillas in the Mist,False,22000000,Drama,null,en,"The story of Dian Fossey, a scientist who came to Africa to study the vanishing mountain gorillas, and later fought to protect them.",11.978983,/yiD0x9H8cFsoebgyLtR4BLKXo0O.jpg,"Universal Pictures, The Guber-Peters Company, Warner Bros.",United States of America,1988-09-23,0,129,English,Released,6.7,136
talking+funny+2011,62425,tt1909348,Talking Funny,Talking Funny,False,0,Comedy,http://www.hbo.com/comedy/talking-funny/index.html,en,"What does it mean to be a successful comedian? How far can the boundaries of taste be pushed to get a laugh? Four top comics, Ricky Gervais, Louis C.K., Jerry Seinfeld and Chris Rock, discuss and debate their craft.",1.102216,/hGBkvDofe1crPWVdFv878GGp9wq.jpg,,United States of America,2011-04-22,0,50,English,Released,7.3,22
short+term+12+2013,169813,tt2370248,Short Term 12,Short Term 12,False,0,Drama,http://www.shortterm12.com/,en,"Grace, a compassionate young supervisor at a foster care facility, works with her boyfriend and colleague, Mason, to help at-risk teens. But when a new charge dredges up memories of her own troubled past, Grace's tough exterior begins eroding.",12.34835,/wYkiNNMM1O5c2yEcj8Lf9UbaB1a.jpg,"Traction Media, Animal Kingdom",United States of America,2013-08-23,1600000,96,English,Released,7.9,460
drained+2006,40860,tt0489458,Drained,O Cheiro do Ralo,False,0,"Comedy, Foreign",null,pt,"A pawn shop proprietor buys used goods from desperate locals--as much to play perverse power games as for his own livelihood, but when the perfect rump and a backed-up toilet enter his life, he loses all control.",0.623789,/pAmJFKsuLKIcUNzkv34QllUheL7.jpg,"RT Features, Primo Filmes, Tristero Filmes, Branca Filmes, Geração Conteúdo",Brazil,2006-09-27,0,112,Português,Released,6.7,18
